Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales
SOUTH RURAL,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2021-08-01 00:00:00,70000 liters
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,September 2020,120.0 kiloliters
south rural,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,August 2023,70000 liters
CENTRAL RURAL,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,N/A,65,70,7.0,15,25,40,30,NULL,2020-12-01 00:00:00,50000 liters
SOUTH URBAN,Modern Trade,Sentry Pepso,Null,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,2021-01-01 00:00:00,150000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2024-08-01 00:00:00,120.0 kiloliters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,,8115,5,90,95,4.0,30,40,55,45,40575.0,February 2022,
CENTRAL URBAN,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,,75,80,6.0,20,30,45,35,nan,2024-07-01 00:00:00,80.0 kiloliters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,nan,2021-02-01 00:00:00,150000 liters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,,75,80,6.0,20,30,45,35,28126.67,January 2025,80.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,N/A,70,75,6.0,20,30,50,40,23423.75,2021-10-01 00:00:00,70000 liters
CENTRAL RURAL,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,unknown,65,70,7.0,15,25,40,30,18850.0,2023-01-01 00:00:00,50000 liters
nan,Traditional Trade,Small Co E,Carbonated Soft Drinks,Soda Spark,36408,9163,unknown,30,26,14.0,1,6,21,18,2885.19,2020-03-01 00:00:00,36.408 kiloliters
central urban,Modern Trade,Sentry Pepso,,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,2022-05-01 00:00:00,80000 liters
central rural,Traditional Trade,Small Co F,JUICES,Tea Tonic,40755,9771,,12,43,14.0,2,3,25,10,3571.11,June 2023,40755 liters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2024-01-01 00:00:00,120000 liters
SOUTH RURAL,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,28160.42,2022-05-01 00:00:00,70000 liters
CENTRAL URBAN,Modern Trade,Vinalac,N/A,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2020-04-01 00:00:00,80000 liters
NORTH RURAL,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,2023-03-01 00:00:00,100000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,53150.0,August 2020,150.0 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2023-09-01 00:00:00,100.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2024-07-01 00:00:00,100.0 kiloliters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,N/A,8115,unknown,90,95,4.0,30,40,55,45,40575.0,2021-01-01 00:00:00,N/A liters
north rural,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,2024-05-01 00:00:00,100.0 kiloliters
n/a,Modern Trade,URZ,Nan,CeeTwo,N/A,9010,NULL,90,95,4.0,30,40,55,45,45050.0,2020-01-01 00:00:00,N/A liters
NORTH RURAL,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2021-03-01 00:00:00,100.0 kiloliters
CENTRAL URBAN,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,NULL,N/A,80000 liters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2020-10-01 00:00:00,100000 liters
NORTH URBAN,Modern Trade,URZ,N/A,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,April 2020,120000 liters
south urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,July 2020,150000 liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,N/A,April 2024,80.0 kiloliters
central rural,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2025-01-01 00:00:00,50000 liters
NORTH URBAN,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,September 2020,120000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,NULL,8504,8,95,98,3.0,35,45,60,50,53150.0,2021-05-01 00:00:00,NULL
central rural,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,June 2024,50000 liters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,unknown,90,95,4.0,30,40,55,45,43790.0,2022-12-01 00:00:00,120.0 kiloliters
CENTRAL URBAN,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,unknown,75,80,6.0,20,30,45,35,NULL,February 2024,80000 liters
central urban,Modern Trade,Sentry Pepso,,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,N/A,80.0 kiloliters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,unknown,70,75,6.0,20,30,50,40,23423.75,2021-05-01 00:00:00,70000 liters
SOUTH RURAL,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,December 2022,70000 liters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2024-09-01 00:00:00,120000 liters
SOUTH RURAL,Traditional Trade,URZ,Water,Great Elite,nan,9991,3,70,75,6.0,20,30,50,40,29140.42,May 2021,nan
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,unknown,95,98,3.0,35,45,60,50,55400.0,2024-05-01 00:00:00,150.0 kiloliters
CENTRAL URBAN,Modern Trade,Vinalac,Nan,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2023-10-01 00:00:00,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,8477,unknown,75,80,6.0,20,30,45,35,28256.67,November 2024,80.0 kiloliters
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,unknown,90,95,4.0,30,40,55,45,43010.0,N/A,120000 liters
central urban,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,N/A,unknown,75,80,6.0,20,30,45,35,26996.67,N/A,80000 liters
,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,March 2021,50000 liters
north rural,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,,100.0 kiloliters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,February 2020,100.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,N/A,3,70,75,6.0,20,30,50,40,23423.75,April 2023,70.0 kiloliters
north rural,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,,unknown,80,85,5.0,25,35,50,40,35708.33,2022-05-01 00:00:00,100.0 kiloliters
north urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,July 2022,120000 liters
north rural,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,,2024-04-01 00:00:00,100.0 kiloliters
central rural,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,unknown,65,70,7.0,15,25,40,30,19504.17,January 2021,50000 liters
NULL,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,NULL,90,95,4.0,30,40,55,45,45050.0,July 2023,120000 liters
CENTRAL URBAN,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2023-07-01 00:00:00,80000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,NULL,90,95,4.0,30,40,55,45,43790.0,October 2023,120000 liters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2022-07-01 00:00:00,50000 liters
CENTRAL RURAL,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2022-09-01 00:00:00,50000 liters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,nan,90,95,4.0,30,40,55,45,44190.0,2022-08-01 00:00:00,120000 liters
,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,unknown,90,95,4.0,30,40,55,45,43010.0,2021-02-01 00:00:00,120000 liters
NULL,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2023-02-01 00:00:00,100000 liters
SOUTH RURAL,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,nan,nan,70000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,September 2020,80.0 kiloliters
north urban,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2023-12-01 00:00:00,120.0 kiloliters
null,Traditional Trade,Vinalac,Yogurt Drinks,Probee,nan,9536,7,80,85,5.0,25,35,50,40,39733.33,2024-06-01 00:00:00,nan
south rural,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,N/A,2021-03-01 00:00:00,70000 liters
CENTRAL RURAL,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,June 2021,50000 liters
south rural,Traditional Trade,URZ,WATER,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,August 2021,70000 liters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2023-05-01 00:00:00,50000 liters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,unknown,70,75,6.0,20,30,50,40,23423.75,2022-08-01 00:00:00,70.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,unknown,95,98,3.0,35,45,60,50,62237.5,2021-08-01 00:00:00,150.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2021-05-01 00:00:00,80.0 kiloliters
,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,September 2021,150000 liters
south urban,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,unknown,95,98,3.0,35,45,60,50,62237.5,2023-06-01 00:00:00,150000 liters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,2022-07-01 00:00:00,100000 liters
SOUTH URBAN,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,July 2020,150.0 kiloliters
north urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,nan,90,95,4.0,30,40,55,45,43010.0,N/A,120.0 kiloliters
central urban,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,nan,80000 liters
south rural,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,January 2020,70000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,NULL,80000 liters
south rural,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2021-03-01 00:00:00,70000 liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2024-10-01 00:00:00,80000 liters
SOUTH URBAN,Modern Trade,URZ,Juices,URZ Prime,150000,,8,95,98,3.0,35,45,60,50,NULL,2025-01-01 00:00:00,150000 liters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,,9536,7,80,85,5.0,25,35,50,40,39733.33,September 2022, liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,,90,95,4.0,30,40,55,45,43790.0,July 2023,120.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2020-07-01 00:00:00,50000 liters
SOUTH RURAL,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,May 2022,70000 liters
