Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales (Raw),Innovation Type
SOUTH,Traditional Trade,FreshDrinks,water,Flavored Water,51993,22227,-2.5,49.24,42.02,42.16,12.36,9.15,41.27,21.89,100000,August 2021,70000 liters,Downsize
south,Modern Trade,SmallBrand,soft drinks,Herbal Tea,76233,13904,5.0,81.32,34.15,24.48,9.99,35.74,77.93,48.59,100000,2021-08-01,70000 liters,New Flavor
south,Traditional Trade,FreshDrinks,WATER,Flavored Water,44512,18522,-2.5,36.58,86.68,15.57,8.29,32.72,66.81,23.36,100000,2020-12,70 kiloliters,New Flavor
NORTH,Modern Trade,TinyStartups,Water,Diet Soda,128342,13882,5.0,96.6,51.08,43.59,10.96,21.78,32.34,48.28,300000.50,2022-03,70000 liters,Upsize
Central,Modern Trade,FreshDrinks,WATER,Herbal Tea,34354,16708,5.0,73.56,32.23,7.79,14.34,29.52,70.98,36.09,300000.50,2022-03,85000 liters,New Flavor
north,Modern Trade,TinyStartups,soft drinks,Sparkling Water,40701,12382,10.5,79.47,33.91,10.32,6.57,15.92,48.62,28.85,string_value,2022-03,70000 liters,New Flavor
Central,Modern Trade,FreshDrinks,Tea,Green Tea,59316,10415,-2.5,50.86,39.65,34.37,7.52,3.4,57.66,47.01,300000.50,2021-08-01,85 kiloliters,New Flavor
South,Traditional Trade,MegaBeverages,tea,Diet Soda,41323,12504,0,58.85,89.95,17.62,8.87,36.36,27.47,45.16,100000,August 2021,85 kiloliters,Repackage
North,Modern Trade,MegaBeverages,Tea,Diet Soda,63598,15757,15.0,45.66,38.76,35.65,14.03,6.86,70.31,39.25,string_value,2022-03,70 kiloliters,New Flavor
CENTRAL,Modern Trade,TinyStartups,water,Green Tea,61818,6502,unknown,95.28,43.02,7.89,19.93,38.02,57.95,34.41,1200000,August 2021,85000 liters,New Flavor
Central,Traditional Trade,BigCo,SOFT DRINKS,Green Tea,87518,15380,5.0,64.17,66.15,12.61,25.83,23.73,46.88,30.29,500000.0,2021/11/15,70000 liters,New Flavor
South,Traditional Trade,TinyStartups,WATER,Sparkling Water,70616,12212,0,74.13,40.58,7.83,9.33,13.61,43.52,37.08,500000.0,2021-08-01,70000 liters,Upsize
NORTH,Modern Trade,BigCo,TEA,Diet Soda,28571,15560,5.0,81.4,35.11,47.65,6.33,20.83,25.11,40.06,string_value,August 2021,70000 liters,Downsize
North,Traditional Trade,MegaBeverages,Tea,Diet Soda,85277,8319,-2.5,55.98,31.1,20.27,11.99,21.06,28.72,47.1,1200000,August 2021,85 kiloliters,New Flavor
North,Traditional Trade,TinyStartups,Soft Drinks,Flavored Water,38537,17841,0,80.41,41.89,16.86,26.94,2.88,59.45,28.82,500000.0,2022-03,85000 liters,Downsize
SOUTH,Traditional Trade,BigCo,Water,Herbal Tea,63274,11341,15.0,77.32,27.41,0.71,1.29,15.51,35.39,26.13,string_value,2022-03,70000 liters,New Segment
